"","year","division","arrest_count"
"19546",2014,"D32",1
"19547",2020,"D55",1
"19548",2017,"D23",4
"19549",2020,"D42",2
"19550",2017,"D43",3
"19551",2021,"D51",2
"19552",2018,"D42",1
"19553",2014,"D12",2
"19554",2018,"D32",2
"19555",2016,"D14",5
"19556",2014,"D33",1
"19557",2020,"D22",5
"19558",2022,"D53",1
"19559",2014,"D53",1
"19560",2014,"D14",7
"19561",2020,"D51",3
"19562",2019,"D55",1
"19563",2017,"D32",5
"19564",2014,"D22",1
"19565",2022,"D22",1
"19566",2021,"D41",6
"19567",2018,"D41",1
"19568",2020,"D41",5
"19569",2022,"D32",1
"19570",2016,"D23",1
"19571",2016,"D55",4
"19572",2017,"D13",10
"19573",2017,"D41",23
"19574",2019,"D33",6
"19575",2018,"D14",2
"19576",2017,"D22",1
"19577",2022,"D11",3
"19578",2020,"D14",2
"19579",2016,"D51",1
"19580",2016,"D12",1
"19581",2019,"D32",2
"19582",2016,"D52",3
"19583",2015,"D51",1
"19584",2020,"D31",8
"19585",2015,"D22",1
"19586",2015,"D51",1
"19587",2017,"D32",2
"19588",2021,"D43",2
"19589",2022,"D51",3
"19590",2016,"D55",1
"19591",2019,"D32",4
"19592",2014,"D41",2
"19593",2021,"D33",1
"19594",2022,"D22",4
"19595",2022,"D51",23
"19596",2015,"D42",4
"19597",2020,"D41",1
"19598",2021,"D55",1
"19599",2021,"D51",1
"19600",2019,"D52",2
"19601",2015,"D52",2
"19602",2021,"D31",1
"19603",2014,"D33",1
"19604",2017,"D14",6
"19605",2019,"D31",1
"19606",2017,"D32",4
"19607",2018,"D12",4
"19608",2021,"D42",2
"19609",2016,"D14",3
"19610",2015,"D55",2
"19611",2021,"D33",1
"19612",2022,"D33",1
"19613",2018,"D55",1
"19614",2018,"D51",3
"19615",2021,"D14",1
"19616",2021,"D22",1
"19617",2016,"D32",1
"19618",2018,"D52",2
"19619",2014,"D14",1
"19620",2015,"D31",5
"19621",2017,"D43",1
"19622",2020,"D52",1
"19623",2019,"D55",1
"19624",2017,"D23",1
"19625",2014,"D14",1
"19626",2018,"D42",1
"19627",2019,"D31",1
"19628",2021,"D23",1
"19629",2019,"D55",5
"19630",2014,"D12",1
"19631",2015,"D43",34
"19632",2019,"D23",9
"19633",2021,"D32",2
"19634",2020,"D41",1
"19635",2020,"D41",2
"19636",2021,"D52",2
"19637",2017,"D43",3
"19638",2019,"D33",2
"19639",2016,"D14",3
"19640",2015,"D41",2
"19641",2020,"D42",3
"19642",2014,"D43",1
"19643",2022,"D33",2
"19644",2018,"D55",5
"19645",2017,"D14",3
"19646",2019,"D31",1
"19647",2014,"D51",3
"19648",2017,"D32",7
"19649",2014,"D12",3
"19650",2018,"D32",10
"19651",2021,"D51",7
"19652",2014,"D41",1
"19653",2015,"D42",7
"19654",2017,"D31",1
"19655",2019,"D22",9
"19656",2015,"D52",2
"19657",2021,"D43",2
"19658",2017,"D14",14
"19659",2016,"NSA",2
"19660",2021,"D55",2
"19661",2020,"D32",1
"19662",2017,"D41",1
"19663",2018,"D13",1
"19664",2018,"D11",3
"19665",2020,"D52",5
"19666",2016,"D51",11
"19667",2014,"D42",4
"19668",2014,"D43",2
"19669",2015,"D22",1
"19670",2014,"D33",4
"19671",2020,"D12",1
"19672",2018,"D23",1
"19673",2017,"D12",1
"19674",2017,"D55",4
"19675",2020,"D42",2
"19676",2016,"D14",1
"19677",2016,"D22",2
"19678",2015,"D52",2
"19679",2020,"D41",3
"19680",2015,"D13",2
"19681",2021,"D33",4
"19682",2018,"D43",2
"19683",2019,"D12",2
"19684",2022,"D13",1
"19685",2020,"D14",1
"19686",2017,"D55",6
"19687",2020,"D52",7
"19688",2021,"D55",1
"19689",2014,"D53",1
"19690",2018,"D14",29
"19691",2017,"D11",1
"19692",2018,"D55",1
"19693",2014,"D43",1
"19694",2021,"D43",6
"19695",2022,"D55",1
"19696",2014,"D31",19
"19697",2017,"D52",1
"19698",2022,"D22",1
"19699",2015,"D31",1
"19700",2019,"D32",1
"19701",2022,"D32",7
"19702",2019,"D12",1
"19703",2015,"D14",1
"19704",2016,"D22",1
"19705",2020,"D22",1
"19706",2018,"D13",7
"19707",2016,"D14",1
"19708",2017,"D41",5
"19709",2017,"D33",1
"19710",2016,"D41",12
"19711",2017,"D32",2
"19712",2021,"D11",1
"19713",2015,"D13",6
"19714",2016,"D41",1
"19715",2020,"D23",10
"19716",2017,"D55",6
"19717",2016,"D41",1
"19718",2020,"D42",1
"19719",2014,"D14",2
"19720",2016,"D12",1
"19721",2014,"D33",1
"19722",2019,"D41",1
"19723",2015,"D55",9
"19724",2022,"D14",2
"19725",2014,"D51",1
"19726",2018,"D33",2
"19727",2020,"D12",1
"19728",2017,"D12",3
"19729",2017,"D32",1
"19730",2020,"D51",7
"19731",2019,"D33",2
"19732",2014,"D51",1
"19733",2015,"D33",1
"19734",2020,"D13",2
"19735",2017,"D22",7
"19736",2022,"D33",3
"19737",2020,"D12",2
"19738",2021,"D43",3
"19739",2014,"D43",2
"19740",2021,"D31",4
"19741",2017,"D43",1
"19742",2014,"D41",1
"19743",2017,"D32",2
"19744",2018,"D11",5
"19745",2021,"D52",4
"19746",2021,"D42",2
"19747",2018,"D51",1
"19748",2021,"D22",3
"19749",2017,"D41",1
"19750",2020,"D55",17
"19751",2018,"D14",1
"19752",2016,"D14",1
"19753",2019,"D55",5
"19754",2019,"D14",1
"19755",2022,"D11",1
"19756",2018,"D31",4
"19757",2020,"D43",3
"19758",2017,"D42",1
"19759",2018,"D42",1
"19760",2018,"D23",7
"19761",2014,"D22",1
"19762",2015,"D43",1
"19763",2022,"D31",5
"19764",2015,"D32",2
"19765",2014,"D13",8
"19766",2014,"D41",1
"19767",2014,"D41",1
"19768",2017,"D23",1
"19769",2016,"D55",1
"19770",2021,"D33",1
"19771",2022,"D55",6
"19772",2016,"D14",2
"19773",2014,"D43",4
"19774",2018,"D32",1
"19775",2017,"D41",2
"19776",2020,"D52",3
"19777",2016,"D12",3
"19778",2015,"D23",2
"19779",2017,"D43",7
"19780",2015,"D13",3
"19781",2019,"D12",1
"19782",2017,"D32",2
"19783",2019,"D32",3
"19784",2014,"D52",1
"19785",2018,"D31",1
"19786",2014,"D31",1
"19787",2015,"D42",1
"19788",2020,"D31",2
"19789",2022,"D12",1
"19790",2016,"D55",1
"19791",2016,"D43",1
"19792",2016,"D32",1
"19793",2015,"D33",1
"19794",2015,"D31",16
"19795",2021,"D43",1
"19796",2015,"D14",1
"19797",2015,"D32",1
"19798",2022,"D22",1
"19799",2017,"D43",1
"19800",2017,"D52",1
"19801",2014,"D32",2
"19802",2018,"D51",2
"19803",2019,"D13",1
"19804",2015,"D53",1
"19805",2022,"D32",3
"19806",2015,"D41",15
"19807",2020,"D41",1
"19808",2019,"D53",1
"19809",2017,"D22",7
"19810",2019,"D14",1
"19811",2014,"D43",5
"19812",2016,"D22",4
"19813",2018,"D55",1
"19814",2014,"D22",1
"19815",2017,"D41",2
"19816",2015,"D11",1
"19817",2021,"D14",2
"19818",2015,"D12",1
"19819",2017,"D13",5
"19820",2015,"D41",3
"19821",2021,"D14",1
"19822",2021,"D32",2
"19823",2019,"D22",4
"19824",2018,"D32",59
"19825",2018,"D41",1
"19826",2017,"D11",8
"19827",2018,"D51",7
"19828",2015,"D42",3
"19829",2015,"D51",1
"19830",2020,"D51",10
"19831",2020,"D32",1
"19832",2017,"D22",3
"19833",2019,"D42",1
"19834",2022,"D41",2
"19835",2020,"D42",1
"19836",2021,"D55",1
"19837",2021,"D33",2
"19838",2017,"D51",19
"19839",2017,"D14",1
"19840",2021,"D55",7
"19841",2015,"D31",1
"19842",2019,"D55",2
"19843",2019,"D55",4
"19844",2014,"D32",1
"19845",2020,"D11",2
"19846",2019,"D14",1
"19847",2015,"D11",2
"19848",2022,"D52",3
"19849",2020,"D11",7
"19850",2022,"D32",3
"19851",2014,"D13",11
"19852",2020,"D33",1
"19853",2017,"D31",19
"19854",2015,"D12",1
"19855",2019,"D33",3
"19856",2014,"D51",5
"19857",2015,"D52",3
"19858",2022,"D13",1
"19859",2017,"D43",1
"19860",2015,"D13",5
"19861",2015,"D32",2
"19862",2014,"D43",8
"19863",2015,"D12",3
"19864",2020,"D55",1
"19865",2014,"D52",53
"19866",2014,"D14",1
"19867",2014,"D43",2
"19868",2022,"D22",1
"19869",2017,"D53",3
"19870",2022,"D52",2
"19871",2022,"D11",3
"19872",2018,"D22",15
"19873",2022,"D13",3
"19874",2022,"D43",1
"19875",2021,"D43",1
"19876",2019,"D32",1
"19877",2021,"D55",2
"19878",2018,"D41",1
"19879",2019,"NSA",1
"19880",2015,"D22",1
"19881",2014,"D43",3
"19882",2018,"D55",4
"19883",2015,"D53",4
"19884",2018,"D12",1
"19885",2017,"D55",1
"19886",2020,"D12",1
"19887",2019,"D32",1
"19888",2018,"D43",1
"19889",2022,"D51",1
"19890",2018,"D14",3
"19891",2015,"D53",2
"19892",2014,"D31",1
"19893",2016,"D41",1
"19894",2020,"D55",1
"19895",2018,"D12",2
"19896",2016,"D51",26
"19897",2022,"D55",3
"19898",2014,"D22",6
"19899",2015,"D32",1
"19900",2022,"D12",2
"19901",2021,"D42",1
"19902",2015,"D42",8
"19903",2020,"D14",1
"19904",2018,"D32",9
"19905",2015,"D43",1
"19906",2018,"D22",1
"19907",2016,"D31",1
"19908",2021,"D55",2
"19909",2020,"D42",1
"19910",2019,"D31",10
"19911",2019,"D23",3
"19912",2020,"D53",2
"19913",2019,"D31",1
"19914",2020,"D31",1
"19915",2018,"D55",5
"19916",2019,"D23",6
"19917",2016,"D31",2
"19918",2014,"D55",19
"19919",2020,"D23",1
"19920",2022,"D53",1
"19921",2018,"D41",2
"19922",2015,"D53",4
"19923",2021,"D14",3
"19924",2018,"D51",10
"19925",2020,"D33",1
"19926",2018,"D12",13
"19927",2014,"D32",3
"19928",2017,"D55",1
"19929",2018,"D42",1
"19930",2019,"D12",5
"19931",2014,"D14",11
"19932",2018,"D32",1
"19933",2015,"D55",6
"19934",2016,"D51",1
"19935",2020,"D23",6
"19936",2016,"D12",5
"19937",2017,"D42",1
"19938",2016,"D43",1
"19939",2022,"D33",6
"19940",2017,"D52",51
"19941",2021,"D42",8
"19942",2015,"D14",6
"19943",2015,"D55",2
"19944",2022,"D53",1
"19945",2021,"D52",1
"19946",2022,"NSA",1
"19947",2018,"D42",1
"19948",2021,"D41",2
"19949",2018,"D43",1
"19950",2016,"D13",3
"19951",2022,"D14",3
"19952",2018,"D11",1
"19953",2016,"D55",1
"19954",2022,"D55",2
"19955",2017,"D12",7
"19956",2017,"D42",1
"19957",2017,"D32",9
"19958",2019,"D11",1
"19959",2015,"D53",1
"19960",2022,"D42",2
"19961",2021,"D12",2
"19962",2014,"D14",1
"19963",2022,"D11",1
"19964",2015,"D41",3
"19965",2016,"D23",1
"19966",2018,"D11",1
"19967",2017,"D52",3
"19968",2014,"D53",4
"19969",2016,"NSA",31
"19970",2021,"D51",6
"19971",2021,"D14",3
"19972",2021,"D32",1
"19973",2018,"D14",39
"19974",2018,"D55",1
"19975",2019,"D33",1
"19976",2022,"D14",1
"19977",2019,"D55",1
"19978",2016,"D41",2
"19979",2020,"D41",1
"19980",2014,"D55",8
"19981",2014,"D22",2
"19982",2018,"D41",2
"19983",2016,"D14",1
"19984",2020,"D13",1
"19985",2020,"D33",1
"19986",2022,"D55",1
"19987",2015,"D23",1
"19988",2017,"D23",2
"19989",2020,"D55",1
"19990",2018,"D11",2
"19991",2018,"D42",1
"19992",2019,"D22",3
"19993",2016,"D14",6
"19994",2015,"D14",4
"19995",2021,"D33",2
"19996",2018,"D32",5
"19997",2020,"D41",2
"19998",2018,"D14",4
"19999",2017,"D31",4
"20000",2020,"D11",1
"20001",2015,"D14",1
"20002",2020,"D53",1
"20003",2015,"D53",1
"20004",2019,"D31",1
"20005",2021,"D42",2
"20006",2017,"D23",1
"20007",2015,"D31",1
"20008",2018,"D42",3
"20009",2018,"D42",1
"20010",2015,"D41",1
"20011",2018,"D11",1
"20012",2018,"D14",2
"20013",2015,"D41",7
"20014",2021,"D32",2
"20015",2018,"D53",1
"20016",2014,"D12",9
"20017",2021,"D12",1
"20018",2020,"D11",1
"20019",2019,"D31",2
"20020",2014,"D55",2
"20021",2022,"D14",7
"20022",2016,"D51",2
"20023",2014,"D14",3
"20024",2014,"D14",8
"20025",2022,"D12",1
"20026",2017,"D33",4
"20027",2020,"D23",24
"20028",2021,"D22",1
"20029",2016,"D55",1
"20030",2021,"D53",1
"20031",2019,"D11",2
"20032",2021,"D41",12
"20033",2017,"D32",4
"20034",2015,"D43",1
"20035",2020,"D55",1
"20036",2021,"D32",3
"20037",2021,"D52",1
"20038",2019,"D55",1
"20039",2018,"D31",2
"20040",2017,"D23",1
"20041",2015,"D55",4
"20042",2016,"D55",1
"20043",2016,"D32",1
"20044",2016,"D12",1
"20045",2021,"D31",1
"20046",2020,"D52",2
"20047",2015,"D32",1
"20048",2020,"D13",1
"20049",2021,"D42",1
"20050",2021,"D55",2
"20051",2021,"D52",1
"20052",2018,"D22",3
"20053",2015,"D11",1
"20054",2016,"D52",2
"20055",2019,"D55",3
"20056",2022,"D14",1
"20057",2022,"D23",5
"20058",2017,"D12",1
"20059",2021,"D55",1
"20060",2021,"D23",1
"20061",2014,"D32",5
"20062",2014,"D42",3
"20063",2015,"D53",2
"20064",2015,"D55",1
"20065",2017,"D51",2
"20066",2014,"D41",15
"20067",2019,"D11",4
"20068",2021,"D41",1
"20069",2015,"D43",1
"20070",2014,"D42",2
"20071",2016,"D43",2
"20072",2017,"D41",5
"20073",2022,"D14",2
"20074",2019,"D52",11
"20075",2019,"D22",2
"20076",2019,"D31",6
"20077",2016,"D41",3
"20078",2018,"D32",1
"20079",2019,"D43",2
"20080",2022,"D33",5
"20081",2022,"D52",5
"20082",2014,"D11",1
"20083",2014,"D14",1
"20084",2016,"D43",3
"20085",2021,"D23",2
"20086",2019,"D13",1
"20087",2018,"D55",8
"20088",2021,"D13",5
"20089",2014,"D55",2
"20090",2018,"D55",6
"20091",2014,"D53",5
"20092",2019,"D52",1
"20093",2014,"D14",1
"20094",2015,"D53",5
"20095",2019,"D41",4
"20096",2015,"D43",3
"20097",2019,"D14",12
"20098",2017,"D13",4
"20099",2019,"D51",1
"20100",2016,"D52",28
"20101",2016,"D23",1
"20102",2020,"D55",1
"20103",2022,"D51",2
"20104",2022,"D13",1
"20105",2017,"D55",1
"20106",2022,"D13",1
"20107",2014,"D55",5
"20108",2014,"D32",2
"20109",2021,"D42",1
"20110",2020,"D43",3
"20111",2018,"D51",2
"20112",2017,"D14",1
"20113",2014,"D32",1
"20114",2016,"D51",9
"20115",2021,"D53",1
"20116",2014,"D12",1
"20117",2021,"D41",6
"20118",2016,"D53",1
"20119",2017,"D51",2
"20120",2020,"D32",3
"20121",2019,"D33",2
"20122",2015,"D14",1
"20123",2014,"D23",1
"20124",2016,"D42",6
"20125",2015,"D43",5
"20126",2018,"D53",7
"20127",2016,"D13",2
"20128",2018,"D12",1
"20129",2017,"D42",1
"20130",2014,"D43",2
"20131",2014,"D43",2
"20132",2015,"D22",1
"20133",2014,"D22",1
"20134",2017,"D32",2
"20135",2017,"D42",5
"20136",2014,"D32",1
"20137",2015,"D51",2
"20138",2017,"D11",7
"20139",2021,"D52",1
"20140",2018,"D22",1
"20141",2019,"D23",6
"20142",2018,"D42",2
"20143",2021,"D13",1
"20144",2022,"D43",8
"20145",2020,"D42",1
"20146",2015,"D41",9
"20147",2022,"D23",3
"20148",2015,"D23",2
"20149",2018,"D12",1
"20150",2019,"D31",6
"20151",2018,"D51",1
"20152",2014,"D13",1
"20153",2016,"D53",5
"20154",2018,"D12",1
"20155",2019,"D42",2
"20156",2020,"D51",14
"20157",2014,"D23",1
"20158",2015,"D14",4
"20159",2016,"D11",1
"20160",2019,"D52",3
"20161",2019,"D55",1
"20162",2020,"D42",2
"20163",2021,"D22",1
"20164",2017,"D14",1
"20165",2018,"D14",2
"20166",2022,"D31",4
"20167",2020,"D41",3
"20168",2020,"D12",1
"20169",2014,"D55",1
"20170",2018,"D55",1
"20171",2015,"D55",7
"20172",2020,"D42",8
"20173",2018,"D33",1
"20174",2022,"D52",15
"20175",2016,"D52",1
"20176",2016,"D52",17
"20177",2021,"D32",1
"20178",2014,"D52",5
"20179",2015,"D11",14
"20180",2016,"D55",2
"20181",2020,"D41",1
"20182",2020,"D14",2
"20183",2015,"D41",5
"20184",2019,"D13",2
"20185",2022,"D55",1
"20186",2022,"D14",2
"20187",2016,"D55",1
"20188",2015,"NSA",2
"20189",2020,"D32",1
"20190",2020,"D53",1
"20191",2020,"D31",1
"20192",2015,"D51",14
"20193",2014,"D51",2
"20194",2017,"D41",3
"20195",2019,"D55",5
"20196",2015,"D55",4
"20197",2022,"D14",10
"20198",2020,"D13",1
"20199",2017,"D23",1
"20200",2016,"D53",5
"20201",2018,"D22",3
"20202",2015,"D32",1
"20203",2021,"D14",2
"20204",2021,"D41",1
"20205",2016,"D12",1
"20206",2016,"D43",1
"20207",2018,"D52",1
"20208",2017,"D13",3
"20209",2020,"D33",10
"20210",2016,"D12",3
"20211",2015,"D13",1
"20212",2019,"D11",1
"20213",2015,"D12",5
"20214",2021,"D53",1
"20215",2020,"D14",1
"20216",2015,"D32",1
"20217",2018,"D23",3
"20218",2015,"D31",1
"20219",2022,"D51",16
"20220",2019,"D52",2
"20221",2021,"D55",1
"20222",2019,"D12",1
"20223",2016,"D32",12
"20224",2019,"D31",4
"20225",2019,"D31",2
"20226",2017,"D12",1
"20227",2014,"D53",2
"20228",2020,"D12",2
"20229",2020,"D43",13
"20230",2016,"D55",1
"20231",2020,"D22",2
"20232",2015,"D22",3
"20233",2022,"D31",2
"20234",2019,"D53",4
"20235",2019,"D55",2
"20236",2022,"D33",5
"20237",2022,"D41",2
"20238",2016,"D53",2
"20239",2014,"D55",1
"20240",2014,"D14",1
"20241",2017,"D53",5
"20242",2022,"D52",2
"20243",2017,"D51",2
"20244",2018,"D12",2
"20245",2018,"D14",5
"20246",2017,"D31",4
"20247",2017,"D55",3
"20248",2018,"D11",3
"20249",2019,"D52",18
"20250",2016,"D55",1
"20251",2016,"D12",1
"20252",2017,"D31",1
"20253",2017,"D55",1
"20254",2019,"D42",1
"20255",2017,"D11",2
"20256",2015,"D55",1
"20257",2015,"D12",8
"20258",2014,"D31",2
"20259",2020,"D55",3
"20260",2014,"D52",1
"20261",2021,"D41",1
"20262",2021,"D52",3
"20263",2016,"D51",2
"20264",2014,"D23",1
"20265",2022,"D43",24
"20266",2019,"D14",1
"20267",2019,"D55",10
"20268",2022,"D43",2
"20269",2015,"D55",1
"20270",2014,"D55",2
"20271",2014,"D43",2
"20272",2018,"D22",1
"20273",2016,"D31",1
"20274",2014,"D31",2
"20275",2016,"D31",4
"20276",2019,"D14",7
"20277",2015,"D22",3
"20278",2022,"D22",3
"20279",2018,"D55",6
"20280",2022,"D11",1
"20281",2021,"D53",3
"20282",2017,"D43",1
"20283",2021,"D12",3
"20284",2014,"D14",1
"20285",2020,"D51",8
"20286",2014,"D55",1
"20287",2016,"D11",4
"20288",2021,"D13",1
"20289",2019,"D14",25
"20290",2015,"D51",2
"20291",2014,"D52",2
"20292",2022,"D43",1
"20293",2018,"D32",4
"20294",2015,"D31",9
"20295",2016,"D14",4
"20296",2014,"D23",8
"20297",2019,"D31",1
"20298",2017,"D53",3
"20299",2016,"D14",31
"20300",2022,"D55",1
"20301",2019,"D41",10
"20302",2021,"D12",1
"20303",2015,"D32",1
"20304",2015,"D22",5
"20305",2016,"D12",16
"20306",2016,"D14",12
"20307",2014,"D13",1
"20308",2020,"D53",2
"20309",2019,"D42",1
"20310",2021,"D55",1
"20311",2014,"D41",2
"20312",2015,"D41",1
"20313",2019,"D23",1
"20314",2014,"D14",1
"20315",2021,"D14",2
"20316",2016,"D42",4
"20317",2017,"D31",1
"20318",2020,"D51",4
"20319",2014,"D31",1
"20320",2017,"D51",2
"20321",2020,"D31",3
"20322",2017,"D55",8
"20323",2022,"D53",5
"20324",2020,"D14",7
"20325",2019,"D14",2
"20326",2017,"D43",3
"20327",2020,"D14",2
"20328",2022,"D14",3
"20329",2015,"D42",1
"20330",2021,"D13",1
"20331",2019,"D41",1
"20332",2017,"D33",2
"20333",2016,"D41",2
"20334",2018,"D33",3
"20335",2021,"D33",9
"20336",2018,"D41",2
"20337",2017,"D11",3
"20338",2017,"D14",2
"20339",2019,"D55",1
"20340",2021,"D55",1
"20341",2017,"D41",1
"20342",2019,"D13",2
"20343",2015,"D12",1
"20344",2016,"D41",1
"20345",2017,"D51",1
"20346",2019,"D14",1
"20347",2017,"D51",18
"20348",2021,"D12",19
"20349",2019,"D55",1
"20350",2022,"D53",1
"20351",2020,"D14",2
"20352",2014,"D22",3
"20353",2015,"D51",4
"20354",2019,"D11",5
"20355",2014,"D14",9
"20356",2017,"D12",5
"20357",2014,"NSA",11
"20358",2018,"D41",5
"20359",2014,"D41",2
"20360",2019,"D11",2
"20361",2021,"D43",1
"20362",2018,"D13",1
"20363",2014,"D43",2
"20364",2022,"D43",2
"20365",2014,"D55",2
"20366",2022,"NSA",10
"20367",2020,"D43",3
"20368",2019,"D43",8
"20369",2021,"D42",1
"20370",2021,"D11",1
"20371",2021,"D55",6
"20372",2022,"D23",4
"20373",2016,"D43",1
"20374",2015,"D53",1
"20375",2014,"D55",2
"20376",2016,"D14",4
"20377",2018,"D51",1
"20378",2015,"D53",2
"20379",2020,"D22",1
"20380",2018,"D51",1
"20381",2016,"D52",2
"20382",2017,"D43",1
"20383",2019,"D53",3
"20384",2016,"D53",1
"20385",2022,"D23",6
"20386",2015,"D41",2
"20387",2017,"D52",2
"20388",2017,"D11",1
"20389",2014,"D14",2
"20390",2019,"D42",1
"20391",2014,"D22",4
"20392",2015,"D51",2
"20393",2021,"D43",1
"20394",2019,"D55",3
"20395",2022,"D32",1
"20396",2017,"D52",3
"20397",2022,"D32",7
"20398",2017,"D42",6
"20399",2017,"D14",1
"20400",2018,"D12",1
"20401",2020,"D43",1
"20402",2021,"D22",1
"20403",2016,"D41",2
"20404",2016,"D33",2
"20405",2022,"D14",1
"20406",2017,"D11",7
"20407",2015,"D55",1
"20408",2019,"D43",2
"20409",2022,"D51",4
"20410",2015,"D42",1
"20411",2015,"D22",1
"20412",2014,"D43",9
"20413",2016,"D43",17
"20414",2021,"D32",2
"20415",2017,"D11",1
"20416",2017,"D42",1
"20417",2021,"D51",6
"20418",2018,"D12",5
"20419",2017,"D11",1
"20420",2020,"D33",1
"20421",2017,"D53",1
"20422",2018,"D52",10
"20423",2019,"D22",3
"20424",2018,"D55",3
"20425",2021,"D33",1
"20426",2018,"D53",1
"20427",2017,"D23",2
"20428",2015,"D32",1
"20429",2017,"D41",6
"20430",2016,"D55",1
"20431",2020,"D22",2
"20432",2017,"D13",1
"20433",2019,"D43",3
"20434",2016,"D14",2
"20435",2018,"D41",6
"20436",2020,"D41",2
"20437",2016,"D52",67
"20438",2018,"D55",1
"20439",2018,"D42",1
"20440",2020,"D42",1
"20441",2016,"D53",5
"20442",2017,"D32",6
"20443",2021,"D23",1
"20444",2018,"D14",2
"20445",2018,"NSA",2
"20446",2017,"D52",1
"20447",2018,"D41",1
"20448",2016,"D51",2
"20449",2016,"D41",11
"20450",2022,"D14",8
"20451",2019,"D14",16
"20452",2020,"D14",2
"20453",2016,"D13",1
"20454",2021,"D53",3
"20455",2020,"D32",3
"20456",2015,"D55",1
"20457",2014,"D23",1
"20458",2014,"D14",4
"20459",2022,"D23",1
"20460",2017,"D55",4
"20461",2015,"D41",2
"20462",2021,"D33",1
"20463",2020,"D12",1
"20464",2019,"D11",3
"20465",2021,"D55",2
"20466",2016,"D14",1
"20467",2016,"D13",1
"20468",2014,"D31",3
"20469",2016,"D41",1
"20470",2016,"D51",1
"20471",2017,"D32",2
"20472",2018,"D51",1
"20473",2022,"D22",1
"20474",2014,"D11",1
"20475",2019,"D12",9
"20476",2020,"D43",8
"20477",2019,"D12",9
"20478",2022,"D13",1
"20479",2014,"D13",8
"20480",2016,"D22",4
"20481",2014,"D13",1
"20482",2021,"D41",7
"20483",2020,"D13",1
"20484",2016,"D41",4
"20485",2020,"D52",10
"20486",2016,"D31",6
"20487",2016,"D11",3
"20488",2020,"D32",1
"20489",2017,"D14",4
"20490",2015,"D32",1
"20491",2018,"D33",6
"20492",2016,"D13",4
"20493",2016,"D13",1
"20494",2019,"D52",4
"20495",2017,"D32",2
"20496",2020,"D11",3
"20497",2022,"D41",3
"20498",2021,"D14",6
"20499",2014,"D31",2
"20500",2020,"D31",19
"20501",2022,"D23",1
"20502",2016,"D32",2
"20503",2016,"D13",1
"20504",2015,"D55",1
"20505",2020,"D52",1
"20506",2014,"D41",1
"20507",2016,"D13",4
"20508",2019,"D52",1
"20509",2015,"D22",1
"20510",2014,"D23",2
"20511",2015,"D32",2
"20512",2022,"D23",16
"20513",2015,"D43",1
"20514",2019,"D52",2
"20515",2020,"D11",1
"20516",2021,"D12",2
"20517",2015,"D51",1
"20518",2015,"D41",3
"20519",2019,"D12",2
"20520",2019,"D33",1
"20521",2018,"D42",1
"20522",2021,"D13",1
"20523",2019,"D32",1
"20524",2015,"D31",8
"20525",2021,"D41",3
"20526",2022,"D51",2
"20527",2015,"D22",1
"20528",2017,"D32",9
"20529",2020,"D52",6
"20530",2015,"D22",2
"20531",2015,"D31",1
"20532",2015,"D55",5
"20533",2019,"D31",5
"20534",2016,"D55",1
"20535",2015,"D55",1
"20536",2017,"D42",1
"20537",2017,"D43",3
"20538",2018,"D31",1
"20539",2022,"D23",28
"20540",2016,"D14",3
"20541",2014,"D55",1
"20542",2018,"D23",1
"20543",2018,"D14",2
"20544",2019,"D12",1
"20545",2014,"D41",6
"20546",2018,"D12",4
"20547",2018,"D43",3
"20548",2022,"D43",1
"20549",2017,"D55",1
"20550",2019,"D52",11
"20551",2016,"D12",2
"20552",2017,"D43",1
"20553",2016,"D22",1
"20554",2020,"D52",1
"20555",2015,"D43",21
"20556",2014,"D22",3
"20557",2022,"D51",16
"20558",2016,"D42",5
"20559",2018,"D52",1
"20560",2016,"D11",5
"20561",2015,"D14",2
"20562",2019,"D53",1
"20563",2022,"D32",3
"20564",2017,"D32",2
"20565",2017,"D55",2
"20566",2022,"D55",2
"20567",2018,"D55",1
"20568",2016,"D14",1
"20569",2018,"D43",1
"20570",2022,"D43",1
"20571",2015,"D23",3
"20572",2014,"D33",1
"20573",2017,"D11",15
"20574",2019,"D42",2
"20575",2014,"D33",10
"20576",2018,"D55",6
"20577",2017,"D22",4
"20578",2022,"D41",1
"20579",2019,"D51",2
"20580",2020,"D22",1
"20581",2020,"D51",1
"20582",2016,"D11",2
"20583",2015,"D42",2
"20584",2022,"D55",1
"20585",2014,"D42",1
"20586",2018,"D33",2
"20587",2020,"D52",5
"20588",2018,"D31",1
"20589",2022,"D32",1
"20590",2017,"D14",16
"20591",2021,"D32",1
"20592",2017,"D31",3
"20593",2021,"D14",1
"20594",2019,"D41",1
"20595",2014,"D23",1
"20596",2019,"D42",1
"20597",2016,"D43",4
"20598",2022,"D55",5
"20599",2014,"D22",3
"20600",2019,"D31",4
"20601",2016,"D33",1
"20602",2022,"D13",1
"20603",2019,"D14",4
"20604",2014,"D12",8
"20605",2015,"D14",1
"20606",2018,"D52",30
"20607",2021,"D11",1
"20608",2014,"D51",1
"20609",2014,"D11",3
"20610",2020,"D22",1
"20611",2019,"D53",3
"20612",2014,"D32",11
"20613",2015,"D22",1
"20614",2014,"D32",7
"20615",2015,"D13",1
"20616",2018,"D42",4
"20617",2020,"D32",1
"20618",2018,"D13",1
"20619",2017,"D41",4
"20620",2015,"D55",1
