"","year","division","arrest_count"
"233",2017,"D31",3
"234",2016,"D32",1
"235",2017,"D53",1
"236",2021,"D51",1
"237",2015,"D31",29
"238",2022,"D33",3
"239",2015,"D41",2
"240",2021,"D32",1
"241",2022,"D22",2
"242",2022,"D14",10
"243",2018,"D53",1
"244",2020,"D53",2
"245",2016,"D55",1
"246",2021,"NSA",2
"247",2014,"D14",1
"248",2016,"D33",1
"249",2020,"D52",2
"250",2020,"D12",10
"251",2018,"D43",1
"252",2019,"D11",1
"253",2021,"D53",2
"254",2015,"D41",9
"255",2022,"D42",1
"256",2021,"D32",1
"257",2018,"D55",1
"258",2020,"D52",1
"259",2019,"D55",8
"260",2015,"D43",3
"261",2014,"D52",1
"262",2016,"D22",1
"263",2019,"D42",1
"264",2019,"D41",1
"265",2017,"D53",1
"266",2018,"D33",1
"267",2016,"D55",1
"268",2022,"D32",1
"269",2017,"D51",2
"270",2016,"D22",2
"271",2018,"D41",2
"272",2017,"D42",1
"273",2015,"D11",1
"274",2017,"D31",2
"275",2014,"D41",1
"276",2020,"D32",1
"277",2015,"D55",2
"278",2017,"D51",1
"279",2019,"D23",1
"280",2018,"D32",1
"281",2015,"D23",1
"282",2018,"D33",1
"283",2019,"D52",1
"284",2014,"D52",1
"285",2021,"D55",4
"286",2015,"D12",6
"287",2021,"D52",1
"288",2019,"D42",1
"289",2014,"D14",10
"290",2022,"D33",2
"291",2015,"D55",7
"292",2020,"D32",1
"293",2019,"D43",2
"294",2015,"D13",1
"295",2018,"D31",3
"296",2017,"D43",4
"297",2017,"D33",2
"298",2021,"D52",1
"299",2018,"D14",5
"300",2020,"D52",1
"301",2022,"D53",8
"302",2018,"D14",1
"303",2019,"D41",1
"304",2020,"D42",1
"305",2020,"D55",2
"306",2022,"D55",2
"307",2022,"D41",3
"308",2017,"D14",1
"309",2021,"D52",5
"310",2019,"D31",7
"311",2022,"D13",6
"312",2017,"D51",3
"313",2019,"D55",5
"314",2019,"D22",1
"315",2020,"D33",1
"316",2019,"D55",3
"317",2015,"D43",1
"318",2014,"D43",1
"319",2016,"D22",1
"320",2021,"D14",2
"321",2020,"D51",1
"322",2022,"D12",2
"323",2018,"D14",1
"324",2018,"D32",2
"325",2016,"D53",2
"326",2022,"NSA",4
"327",2014,"D31",9
"328",2019,"D41",1
"329",2021,"D51",1
"330",2016,"D33",1
"331",2022,"D12",5
"332",2017,"D11",2
"333",2014,"D55",1
"334",2016,"D53",2
"335",2014,"D12",1
"336",2022,"D55",5
"337",2016,"D55",1
"338",2017,"D14",3
"339",2021,"NSA",7
"340",2019,"D55",6
"341",2017,"D12",2
"342",2022,"D13",1
"343",2015,"D43",4
"344",2022,"D32",1
"345",2021,"D55",2
"346",2022,"D41",2
"347",2022,"D52",16
"348",2018,"D23",21
"349",2018,"D42",1
"350",2022,"D32",2
"351",2022,"D42",1
"352",2015,"D31",1
"353",2016,"D13",2
"354",2017,"D14",2
"355",2016,"D32",1
"356",2019,"D53",2
"357",2014,"D23",3
"358",2022,"D14",6
"359",2018,"D11",3
"360",2014,"D14",29
"361",2015,"D31",9
"362",2022,"D55",2
"363",2021,"D11",9
"364",2020,"D41",5
"365",2015,"D14",5
"366",2019,"D14",2
"367",2022,"D14",9
"368",2021,"D22",2
"369",2022,"D33",1
"370",2017,"D32",1
"371",2015,"D13",3
"372",2015,"D22",2
"373",2017,"D55",1
"374",2014,"D11",2
"375",2022,"D33",1
"376",2017,"D23",1
"377",2021,"D11",1
"378",2020,"D55",7
"379",2020,"D55",11
"380",2022,"D13",2
"381",2017,"D42",1
"382",2020,"D51",14
"383",2015,"D43",1
"384",2020,"D22",1
"385",2021,"D42",6
"386",2020,"D31",1
"387",2016,"D41",1
"388",2014,"D53",2
"389",2015,"D14",11
"390",2014,"D43",2
"391",2017,"D11",3
"392",2016,"D22",2
"393",2020,"D41",1
"394",2016,"D22",2
"395",2019,"NSA",9
"396",2020,"D32",3
"397",2022,"D43",1
"398",2015,"D14",2
"399",2014,"D12",4
"400",2014,"D53",4
"401",2016,"D53",5
"402",2019,"D42",10
"403",2019,"D51",1
"404",2017,"D51",1
"405",2019,"D11",3
"406",2014,"D31",4
"407",2016,"D13",1
"408",2018,"D51",7
"409",2015,"D41",1
"410",2018,"D23",1
"411",2016,"D53",1
"412",2017,"D53",8
"413",2014,"D14",1
"414",2017,"D33",1
"415",2020,"D12",1
"416",2019,"D33",1
"417",2018,"D53",1
"418",2019,"D43",1
"419",2016,"D12",1
"420",2019,"D33",1
"421",2019,"D14",3
"422",2020,"D13",1
"423",2021,"D12",2
"424",2016,"D55",4
"425",2020,"D42",1
"426",2018,"D41",3
"427",2015,"D42",1
"428",2016,"D52",2
"429",2020,"D41",1
"430",2017,"D14",2
"431",2021,"D51",69
"432",2020,"D32",2
"433",2021,"D51",3
"434",2015,"D12",6
"435",2020,"D41",1
"436",2020,"D22",2
"437",2014,"D42",1
"438",2022,"D43",1
"439",2018,"D52",6
"440",2016,"D43",6
"441",2014,"D41",5
"442",2018,"D32",1
"443",2019,"D43",1
"444",2014,"D31",1
"445",2019,"D52",8
"446",2019,"D33",1
"447",2014,"D52",4
"448",2022,"D14",2
"449",2020,"D52",1
"450",2017,"D14",2
"451",2021,"D33",1
"452",2019,"D14",18
"453",2021,"D43",1
"454",2014,"D31",8
"455",2019,"D55",1
"456",2015,"D41",1
"457",2014,"D31",1
"458",2021,"D43",1
"459",2015,"D32",1
"460",2017,"D32",7
"461",2018,"D53",1
"462",2014,"D52",3
"463",2022,"D32",2
"464",2016,"D31",6
"465",2017,"D51",3
"466",2018,"D31",2
"467",2017,"D31",3
"468",2014,"D13",1
"469",2022,"D52",1
"470",2019,"D22",1
"471",2015,"D43",10
"472",2022,"D55",1
"473",2014,"D31",2
"474",2020,"D12",1
"475",2014,"D11",2
"476",2021,"D53",2
"477",2019,"D31",1
"478",2014,"D22",2
"479",2014,"D22",1
"480",2018,"D32",4
"481",2018,"D41",1
"482",2014,"D33",1
"483",2022,"D52",1
"484",2015,"D22",1
"485",2014,"D53",1
"486",2015,"D22",7
"487",2017,"D14",2
"488",2021,"D12",8
"489",2014,"D55",1
"490",2014,"D52",1
"491",2021,"D14",2
"492",2017,"D43",3
"493",2015,"D11",1
"494",2020,"D55",1
"495",2014,"D13",1
"496",2019,"D55",1
"497",2022,"D32",2
"498",2015,"D31",1
"499",2015,"D22",10
"500",2015,"D31",1
"501",2016,"D13",2
"502",2018,"D23",5
"503",2021,"D55",1
"504",2017,"D14",3
"505",2020,"D51",1
"506",2019,"D53",3
"507",2019,"D14",4
"508",2017,"D13",2
"509",2014,"D32",2
"510",2020,"D12",2
"511",2018,"D41",1
"512",2017,"D12",1
"513",2017,"D14",2
"514",2019,"D55",7
"515",2021,"D14",23
"516",2017,"D13",2
"517",2015,"D33",4
"518",2019,"D41",1
"519",2018,"D14",5
"520",2019,"D22",11
"521",2018,"D42",1
"522",2016,"D41",4
"523",2016,"D12",11
"524",2021,"D42",3
"525",2014,"D53",1
"526",2014,"D14",2
"527",2017,"D11",10
"528",2020,"D31",8
"529",2018,"D14",2
"530",2020,"D11",9
"531",2019,"D41",1
"532",2019,"D43",2
"533",2019,"D42",2
"534",2021,"D32",1
"535",2018,"D55",5
"536",2014,"D43",1
"537",2021,"D11",1
"538",2015,"D52",1
"539",2017,"D33",2
"540",2021,"D22",1
"541",2014,"D31",2
"542",2020,"D51",2
"543",2020,"D22",1
"544",2018,"D11",1
"545",2016,"D33",3
"546",2020,"D32",1
"547",2015,"D23",1
"548",2020,"D43",5
"549",2020,"D12",1
"550",2018,"D11",1
"551",2016,"D22",2
"552",2018,"D43",1
"553",2021,"D12",1
"554",2021,"D22",1
"555",2022,"D11",2
"556",2014,"D51",1
"557",2019,"D51",2
"558",2021,"D43",1
"559",2019,"D23",10
"560",2022,"D55",1
"561",2020,"D42",2
"562",2019,"D53",1
"563",2022,"D55",1
"564",2017,"D55",2
"565",2016,"D31",2
"566",2017,"D32",1
"567",2022,"D23",1
"568",2018,"D32",3
"569",2020,"D31",1
"570",2014,"D41",1
"571",2017,"D13",1
"572",2020,"D51",2
"573",2020,"D43",9
"574",2015,"D52",83
"575",2019,"D55",1
"576",2021,"D12",11
"577",2017,"D43",10
"578",2022,"D22",6
"579",2014,"D55",1
"580",2018,"D31",2
"581",2020,"D51",4
"582",2016,"D23",3
"583",2021,"D51",2
"584",2021,"D22",1
"585",2016,"D41",1
"586",2022,"D14",1
"587",2022,"D43",1
"588",2015,"D41",1
"589",2017,"D55",1
"590",2017,"D51",2
"591",2020,"D22",3
"592",2016,"D13",1
"593",2022,"D55",1
"594",2014,"D55",12
"595",2022,"D32",1
"596",2018,"D12",1
"597",2016,"D14",6
"598",2020,"D42",1
"599",2020,"D31",1
"600",2014,"D22",2
"601",2017,"D33",1
"602",2022,"D32",3
"603",2015,"D42",1
"604",2018,"D14",1
"605",2021,"D52",16
"606",2019,"D12",1
"607",2020,"D51",3
"608",2019,"D43",7
"609",2017,"D51",1
"610",2020,"D42",4
"611",2017,"D32",1
"612",2016,"D42",2
"613",2019,"D13",4
"614",2019,"D23",1
"615",2022,"D32",1
"616",2014,"D55",1
"617",2019,"D52",2
"618",2021,"D53",1
"619",2016,"D22",3
"620",2021,"D32",1
"621",2015,"D23",3
"622",2015,"D41",1
"623",2020,"D55",6
"624",2021,"D55",4
"625",2014,"D12",1
"626",2019,"D41",2
"627",2022,"D33",1
"628",2014,"D53",1
"629",2017,"D52",2
"630",2020,"D32",5
"631",2021,"D14",2
"632",2015,"D43",3
"633",2019,"D22",6
"634",2020,"D23",1
"635",2018,"D55",1
"636",2016,"D14",1
"637",2016,"D23",1
"638",2014,"D43",1
"639",2017,"D52",8
"640",2018,"D32",1
"641",2019,"D53",1
"642",2017,"D13",2
"643",2015,"D55",5
"644",2019,"D11",4
"645",2015,"D41",3
"646",2018,"D42",2
"647",2014,"D12",2
"648",2019,"D14",2
"649",2018,"D12",2
"650",2022,"D52",1
"651",2021,"D11",5
"652",2020,"D22",3
"653",2016,"D33",1
"654",2020,"D13",1
"655",2021,"D51",4
"656",2016,"D43",1
"657",2020,"D14",1
"658",2017,"D42",1
"659",2016,"D55",1
"660",2022,"D31",11
"661",2015,"D22",2
"662",2018,"D55",1
"663",2017,"D41",2
"664",2017,"D12",2
"665",2015,"D22",3
"666",2014,"D23",3
"667",2014,"D52",7
"668",2022,"D53",2
"669",2020,"D51",1
"670",2022,"D42",1
"671",2015,"D14",8
"672",2017,"D22",1
"673",2020,"D22",2
"674",2021,"D42",2
"675",2016,"D53",2
"676",2015,"D12",1
"677",2018,"D55",1
"678",2016,"D53",22
"679",2019,"D22",2
"680",2014,"D12",1
"681",2019,"D11",1
"682",2018,"D41",1
"683",2014,"D42",2
"684",2018,"D42",1
"685",2019,"D32",1
"686",2016,"D43",1
"687",2017,"D32",3
"688",2021,"D13",1
"689",2014,"D42",2
"690",2017,"D13",1
"691",2017,"D11",1
"692",2016,"D23",1
"693",2016,"NSA",1
"694",2019,"D55",1
"695",2015,"D23",5
"696",2014,"D23",1
"697",2017,"D41",5
"698",2019,"D55",5
"699",2016,"D52",3
"700",2022,"D43",1
"701",2015,"D32",3
"702",2014,"D41",1
"703",2021,"D53",1
"704",2015,"D32",3
"705",2017,"D11",1
"706",2019,"D41",2
"707",2019,"D52",3
"708",2017,"D41",3
"709",2021,"D41",5
"710",2014,"D13",2
"711",2014,"D41",3
"712",2014,"D32",1
"713",2016,"D12",1
"714",2014,"D43",1
"715",2015,"D14",1
"716",2021,"D51",1
"717",2020,"D51",2
"718",2020,"D12",1
"719",2017,"D11",1
"720",2015,"D41",18
"721",2020,"D14",3
"722",2022,"D33",1
"723",2017,"D53",4
"724",2020,"D22",4
"725",2017,"D41",1
"726",2016,"D53",3
"727",2014,"D32",1
"728",2015,"D33",1
"729",2015,"D22",1
"730",2020,"D32",1
"731",2022,"D11",2
"732",2019,"D14",2
"733",2015,"D55",3
"734",2016,"D42",2
"735",2020,"D41",1
"736",2016,"D42",5
"737",2014,"D13",5
"738",2018,"D41",1
