"","year","division","counts","type"
"154",2022,"D51",1078,"MHA"
"155",2022,"D52",712,"MHA"
"156",2022,"D53",737,"MHA"
"157",2022,"D55",1094,"MHA"
"158",2022,"NSA",63,"MHA"
"159",2023,"D11",559,"MHA"
"160",2023,"D12",519,"MHA"
"161",2023,"D13",434,"MHA"
"162",2023,"D14",1443,"MHA"
"163",2023,"D22",763,"MHA"
"164",2023,"D23",593,"MHA"
"165",2023,"D31",678,"MHA"
"166",2023,"D32",770,"MHA"
"167",2023,"D33",649,"MHA"
"168",2023,"D41",737,"MHA"
"169",2023,"D42",608,"MHA"
"170",2023,"D43",799,"MHA"
"171",2023,"D51",933,"MHA"
"172",2023,"D52",624,"MHA"
"173",2023,"D53",647,"MHA"
"174",2023,"D55",1068,"MHA"
"175",2023,"NSA",30,"MHA"
"176",2014,"D11",3976,"ALL"
"177",2014,"D12",3861,"ALL"
"178",2014,"D13",2675,"ALL"
"179",2014,"D14",5830,"ALL"
"180",2014,"D22",4350,"ALL"
"181",2014,"D23",3778,"ALL"
"182",2014,"D31",5407,"ALL"
"183",2014,"D32",4422,"ALL"
"184",2014,"D33",2800,"ALL"
"185",2014,"D41",6736,"ALL"
"186",2014,"D42",3652,"ALL"
"187",2014,"D43",6652,"ALL"
"188",2014,"D51",6191,"ALL"
"189",2014,"D52",9482,"ALL"
"190",2014,"D53",2921,"ALL"
"191",2014,"D55",7055,"ALL"
"192",2014,"NSA",1071,"ALL"
"193",2015,"D11",3749,"ALL"
"194",2015,"D12",3413,"ALL"
"195",2015,"D13",2407,"ALL"
"196",2015,"D14",5120,"ALL"
"197",2015,"D22",3985,"ALL"
"198",2015,"D23",3373,"ALL"
"199",2015,"D31",4567,"ALL"
"200",2015,"D32",3903,"ALL"
"201",2015,"D33",2728,"ALL"
"202",2015,"D41",6386,"ALL"
"203",2015,"D42",3492,"ALL"
"204",2015,"D43",6257,"ALL"
"205",2015,"D51",5472,"ALL"
"206",2015,"D52",7546,"ALL"
"207",2015,"D53",2538,"ALL"
"208",2015,"D55",5820,"ALL"
"209",2015,"NSA",724,"ALL"
"210",2016,"D11",3930,"ALL"
"211",2016,"D12",3230,"ALL"
"212",2016,"D13",2657,"ALL"
"213",2016,"D14",5372,"ALL"
"214",2016,"D22",3929,"ALL"
"215",2016,"D23",3227,"ALL"
"216",2016,"D31",4346,"ALL"
"217",2016,"D32",4131,"ALL"
"218",2016,"D33",2961,"ALL"
"219",2016,"D41",5971,"ALL"
"220",2016,"D42",3409,"ALL"
"221",2016,"D43",6397,"ALL"
"222",2016,"D51",6159,"ALL"
"223",2016,"D52",6860,"ALL"
"224",2016,"D53",2990,"ALL"
"225",2016,"D55",5473,"ALL"
"226",2016,"NSA",993,"ALL"
